DISTRICT NAME,DISTRICT NUMBER,COUNTY NUMBER AND NAME,EDUCATION SERVICE CENTER REGION,DISTRICT ACCOUNTABILITY RATINGS,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,STUDENTS: % AFRICAN AMERICAN,STUDENTS: % HISPANIC,STUDENTS: % WHITE,STUDENTS: % AMERICAN INDIAN,STUDENTS: % ASIAN,STUDENTS: % PACIFIC ISLANDER,STUDENTS: % TWO OR MORE RACES,STUDENTS: % ECONOMICALLY DISADVANTAGED,STUDENTS: % ENGLISH LEARNERS (EL),STUDENTS: % SPECIAL EDUCATION,STUDENTS: % BILINGUAL/ESL EDUCATION,STUDENTS: % CAREER & TECHNICAL EDUCATION,STUDENTS: % GIFTED & TALENTED EDUCATION,ATTENDANCE RATE (2020-21),ANNUAL DROPOUT RATE GR. 9-12 (2020-21),4-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2021) DISTRICT EXCL,5-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2020) DISTRICT EXCL, 6-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2019) DISTRICT EXCL,ANNUAL GRADUATE COUNT (2020-21),ANNUAL RHSP/DAP/FHSP-E/FHSP-DLA GRADUATE COUNT (2020-21),STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD, STAAR: % AFRICAN AMERICAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % HISPANIC AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MASTERS GRADE LEVEL STANDARD,STAAR: % WHITE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MASTERS GRADE LEVEL STANDARD,STAAR: % AMERICAN INDIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % ASIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % PACIFIC ISLANDER AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MASTERS GRADE LEVEL STANDARD,STAAR: % TWO OR MORE RACES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % TWO OR MORE RACES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % TWO OR MORE RACES AT MASTERS GRADE LEVEL STANDARD,STAAR: % ECONOMICALLY DISADVANTAGED AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MASTERS GRADE LEVEL STANDARD,COLLEGE ADMISSIONS: % TESTED (2020-2021),COLLEGE ADMISSIONS: % AT/ABOVE CRITERION (2020-2021),SAT-AVERAGE SCORE (2021-2020),ACT-AVERAGE SCORE (2021-2020),TOTAL STAFF FTE,TOTAL TEACHER FTE,STAFF: % CENTRAL ADMINISTRATIVE,STAFF: % SCHOOL ADMINISTRATIVE,STAFF: % PROFESSIONAL SUPPORT,STAFF: % TEACHERS,STAFF: % EDUCATIONAL AIDES,STAFF: % AUXILIARY,AVERAGE SALARY: CENTRAL ADMINISTRATIVE,AVERAGE SALARY: SCHOOL ADMINISTRATIVE,AVERAGE SALARY: PROFESSIONAL SUPPORT,AVERAGE SALARY: TEACHER,STAFF: % MINORITY,NUMBER OF STUDENTS PER TOTAL STAFF,NUMBER OF STUDENTS PER TEACHER,TEACHER: % WITH 5 OR FEWER YEARS OF EXPERIENCE,TEACHER: AVERAGE YEARS OF EXPERIENCE,TEACHER: % WITH ADVANCED DEGREES,TEACHER: TURNOVER RATE,TEACHER: % AFRICAN AMERICAN,TEACHER: % HISPANIC,TEACHER: % WHITE,TEACHER: % AMERICAN INDIAN,TEACHER: % ASIAN,TEACHER: % PACIFIC ISLANDER,TEACHER: % TWO OR MORE RACES,TEACHER: % REGULAR EDUCATION,TEACHER: % SPECIAL EDUCATION,TEACHER: % COMPENSATORY EDUCATION,TEACHER: % BILINGUAL/ESL EDUCATION,TEACHER: % CAREER & TECHNICAL EDUCATION,TEACHER: % OTHER EDUCATION (INCLUDES G & T),TAXABLE VALUE PER PUPIL (2019 TAX YEAR),LOCALLY ADOPTED TAX RATE (2020 TAX YEAR),TOTAL OPERATING AND OTHER REVENUE (2020-21),Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),REVENUE: % STATE,REVENUE: % LOCAL AND OTHER,REVENUE: % FEDERAL,TOTAL OTHER REVENUE(2020-21),FUND BALANCE (FOR ISDS),NET ASSETS (CHARTER SCHOOLS),TOTAL ACTUAL EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES PER PUPIL,EXPENDITURE: % INSTRUCTIONAL,EXPENDITURE: % CENTRAL ADMINISTRATIVE,EXPENDITURE: % SCHOOL LEADERSHIP,EXPENDITURE: % PLANT SERVICES,EXPENDITURE: % OTHER OPERATING,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES PER PUPIL, EXPENDITURE: % BASIC EDUCATION SERVICES,EXPENDITURE: % SPECIAL EDUCATION,EXPENDITURE: % STATE COMPENSATORY EDUCATION,EXPENDITURE: % BILINGUAL/ESL EDUCATION,EXPENDITURE: % CAREER & TECHNICAL EDUCATION, EXPENDITURE: % GIFTED & TALENTED EDUCATION,EXPENDITURE: % ATHLETICS/RELATED ACTIVITIES,EXPENDITURE: % HIGH SCHOOL ALLOTMENT,EXPENDITURE: % PREKINDERGARTEN,EXPENDITURE: % UN-ALLOCATED,DISTRICT SIZE,COMMUNITY TYPE,PROPERTY WEALTH,TAX RATE
LUFKIN ISD,003903,003 ANGELINA,07,B,17,7318,28.7,43.1,24,0.1,1.1,0.1,3,85.8,20.5,12.6,26.9,26.2,13,93,2.2,92,93.7,91.2,495,463,69,43,20,69,46,20,66,37,18,74,47,18,70,48,31,58,31,12,69,41,17,82,63,36,88,63,50,92,81,57,-1,-1,-1,75,43,23,66,39,16,86.7,22.6,942,23.5,1321.5,593,1.4,4.1,8.8,44.9,13.7,27.1,99981,75632,62769,52619,40.8,5.5,12.3,35.2,11.5,22.3,16.4,12.1,12.1,73.8,0.5,0.3,0,1.2,68.9,9.7,0.9,5.6,5.6,9.3,359448,1.324,109642371,14825,95191197,48.7,31.1,20.2,14451174,25362176,0,133940278,92600363,12520,55.9,7.8,5.8,11.3,19.3,51765304,6999,41.2,10.7,11.7,0.9,3.1,0.5,1.4,0,1.7,26.5,"5,000 to 9,999",Independent Town,"$340,843 to < $359,962",$1.3239 and over
HUNTINGTON ISD,003904,003 ANGELINA,07,B,5,1612,2.4,6.6,87,0.3,0.1,0.2,3.2,58.6,1.2,16.3,1.2,27,3.9,95.7,0.2,95.4,97.7,97.8,104,80,77,47,21,76,50,21,77,43,20,80,49,21,79,46,24,75,36,14,79,47,21,77,48,21,80,40,0,67,17,0,-1,-1,-1,79,44,19,72,40,17,41.3,39.5,1029,23.4,250.4,123.8,1.6,3.1,8.2,49.5,12,25.7,115875,69406,58078,51033,4.1,6.4,13,29.1,12.6,15.7,21.3,0,1.6,98.4,0,0,0,0,73.6,8.1,9.1,0,7.3,1.9,257994,1.227,20380094,12981,19541698,63.6,23.2,13.2,838396,8450546,0,20332940,17543484,11174,53.3,8.4,6.4,13,18.9,9344402,5952,36.2,12.7,9.1,0.2,5.1,0.2,3.5,0,0.7,28.8,"1,600 to 2,999",Non-metropolitan Stable,"$234,712 to < $298,152",$1.2148 to under $1.3239
DIBOLL ISD,003905,003 ANGELINA,07,A,6,1744,12.3,51.5,33.5,0.1,0.3,0,2.2,70.6,15.4,12.3,14.9,28.4,3.6,97,0.7,98.2,96.4,96.7,109,95,76,45,17,76,48,18,80,44,17,79,45,15,59,35,18,69,38,12,73,40,15,82,54,22,,,,100,100,75,,,,82,54,10,72,39,13,56,27.9,957,-1,294.7,137.5,1.4,2.9,11.4,46.7,11.2,26.5,114925,78977,65489,54453,34,5.9,12.7,31,11.9,15.2,16.5,5.7,17.7,75.9,0,0,0,0.7,65.8,5.2,12.4,2.2,8.7,5.7,185574,1.165,27935815,16346,22604825,65.5,16.4,18.1,5330990,4959344,0,26049067,22244301,13016,55.3,8.5,5.7,11.4,19.1,12305080,7200,40.3,8.1,11.6,0.6,5.3,0.5,2.4,0.2,0.6,28.1,"1,600 to 2,999",Non-metropolitan Stable,"$164,606 to < $234,712",$1.0809 to under $1.2148
ZAVALLA ISD,003906,003 ANGELINA,07,B,2,300,0.3,4.3,91,0,0,0,4.3,68.7,0,15.3,0,29,3.7,93.5,2.2,92.6,93.1,96.3,24,15,70,40,19,77,57,28,68,26,12,57,29,7,75,39,28,-1,-1,-1,55,30,15,72,40,19,,,,,,,,,,57,48,33,65,34,15,33.3,37.5,1028,-1,60.8,32.2,1.6,6.6,2.4,53,12.8,23.6,107500,75410,38188,57015,0,4.9,9.3,30.2,15.1,24.4,21.2,0,0,97,0,0,0,3,74.1,11.5,5,0,9.3,0,390734,1.42,5280334,17601,4717700,59.3,26.6,14.1,562634,2094607,0,5614591,4746755,15823,58,11.2,4.1,12.8,13.9,2752102,9174,41.1,11.5,12,0,4,0.2,1.9,0,0.1,27.9,Under 500,Rural,"$359,962 to < $411,857",$1.3239 and over
CENTRAL ISD,003907,003 ANGELINA,07,A,4,1451,3.7,21.2,71.7,0.1,0,0,3.3,56.4,5,15.1,4.9,27.3,5.7,94.3,0.5,97.8,99,97.8,88,64,75,47,22,75,52,23,74,41,18,79,52,21,71,44,27,63,40,14,71,44,18,77,49,23,,,,,,,,,,70,47,27,67,38,14,68.2,26.7,957,-1,252.5,117.5,2.6,4.4,8.2,46.5,11.9,26.4,92796,65817,60923,55145,12.5,5.7,12.3,38.5,10.4,16.2,17.2,0,4.1,94.2,0.9,0,0,0.9,79.3,7.3,3,0.7,7.7,2,203449,1.217,18505352,12815,17719978,67.6,20.6,11.8,785374,7785282,0,16664704,15359031,10636,52.8,6.6,5,14.3,21.3,8101586,5611,40.7,14.4,5.6,0.2,3.7,0.6,2.7,0.2,0.7,30.2,"1,000 to 1,599",Non-metropolitan Stable,"$164,606 to < $234,712",$1.2148 to under $1.3239
ARANSAS COUNTY ISD,004901,004 ARANSAS,02,B,4,3005,1.3,44.1,49.6,0.3,2,0.1,2.7,66.9,5,14.2,5,19.9,4.6,92.5,1.1,91.3,93.2,94,177,111,65,38,17,67,43,19,62,32,15,66,36,11,66,42,23,42,22,13,57,30,11,71,44,21,63,50,25,85,65,43,100,71,29,73,39,20,57,30,12,53.7,24.2,977,21.4,438.8,207.4,1.5,2.5,9.1,47.3,10.9,28.8,104436,75457,59523,54977,29.4,6.8,14.5,33.2,12.3,21,25.2,1.4,18.8,77.8,0.5,1,0,0.5,80.9,11.4,3.2,0.7,3.9,0,1090228,0.98,40130373,13337,38429961,13.3,68.4,18.3,1700412,12557696,0,37879789,35981574,11958,53.6,8.4,4.2,15.5,18.3,19297890,6413,37.1,11,10.4,0.2,2.4,0.3,2.5,0,1.2,33,"3,000 to 4,999",Non-metropolitan Stable,"$1,039,446 to < $1,892,208",Under $1.0809
ARCHER CITY ISD,005901,005 ARCHER,09,A,2,506,1.2,13.6,81.6,0.6,0,0,3,41.1,2.2,14.6,2.2,28.1,5.3,99.6,0.6,81.8,100,100,28,28,89,70,37,90,74,37,91,67,41,92,71,33,74,58,33,100,100,20,78,57,17,91,71,41,80,60,40,,,,,,,100,87,47,82,62,25,78.6,22.7,1056,18.3,94.1,48.6,1.1,1.9,5.8,51.7,19.6,19.9,155100,87870,58616,55742,5.2,5.4,10.4,18.7,14.8,13.5,13.2,0,4,91.8,0,0,0,4.2,79.4,7.7,0,0,12.9,0,526204,1.182,8271433,16510,7059532,48.9,44.4,6.7,1211901,3152754,0,8204967,6905033,13783,59.2,6.5,4.4,10.7,19.2,4087736,8159,42.4,8.8,7.9,0.1,5.7,0,5,0,0.1,26.6,500 to 999,Rural,"$479,670 to < $526,224",$1.0809 to under $1.2148
HOLLIDAY ISD,005902,005 ARCHER,09,A,3,1126,0.4,8.8,86.6,0.8,0.1,0,3.4,24.7,0.5,11.1,0.5,25,6.2,97.4,0,98.7,100,100,72,67,86,63,32,85,66,35,86,61,32,86,57,20,87,64,37,-1,-1,-1,84,62,25,86,63,33,89,67,33,,,,,,,84,61,37,71,43,21,80.6,48.3,1125,21.9,141.4,81.5,1.4,2.1,5.6,57.6,15.7,17.5,116650,90233,67858,56425,8.8,8,13.8,15.3,15.8,22.1,2.5,0,4.9,93.9,0,0,0,1.2,81.6,5.1,5.2,0.2,7.4,0.5,385193,1.328,13745131,12906,12388827,60.2,35.2,4.6,1356304,1656018,0,15347285,10518615,9877,61.6,5.7,4.7,9.6,18.4,6477567,6082,52.9,7,2.8,0.1,5.9,0.2,4.5,0,0.4,23.7,"1,000 to 1,599",Other Central City Suburban,"$359,962 to < $411,857",$1.3239 and over
WINDTHORST ISD,005904,005 ARCHER,09,A,3,530,0.8,25.1,72.8,0.6,0.4,0,0.4,30,5.7,7.5,6,28.1,7,97.5,0,100,100,100,29,26,91,70,36,89,68,37,93,73,36,94,75,38,88,59,33,-1,-1,-1,78,52,19,96,77,42,-1,-1,-1,100,100,100,,,,83,67,67,75,48,17,82.8,41.7,1031,19.6,71.3,36.3,2.8,2.9,4.2,50.9,12.3,26.9,93472,77603,62793,53076,15.5,7.4,14.6,11.1,16.5,10.9,8.2,0,5.4,94.6,0,0,0,0,77,4.3,8.1,0,10.6,0,216976,1.216,5810694,13389,5633549,71.7,19.3,9,177145,3395400,0,5636574,5151685,11870,58.5,7.2,5.3,11.3,17.7,3014746,6946,46.5,4.9,4.6,0.2,7.2,0.1,6.1,0,1.3,26.4,500 to 999,Non-metropolitan Fast Growing,"$164,606 to < $234,712",$1.2148 to under $1.3239
CLAUDE ISD,006902,006 ARMSTRONG,16,A,1,307,0.7,14.7,79.5,1,0,0,4.2,36.2,1,9.8,1,37.5,6.5,94.9,0,100,95.2,100,24,22,88,59,35,91,62,32,90,64,42,90,52,30,59,28,21,,,,89,47,23,88,62,39,100,67,0,,,,,,,96,48,17,90,52,26,50,8.3,,20,50.3,29.8,2,3.3,7.1,59.2,9.6,18.7,117700,75117,50139,46591,9.3,6.1,10.3,23.5,13.7,12.7,26.4,0,3.4,96.6,0,0,0,0,82.7,5.9,3.9,0,7.5,0,669601,1.021,4383058,13914,4232228,37.4,53,9.5,150830,2555692,0,4938071,3922237,12452,52,18,6.2,10.4,13.4,2040243,6477,44.5,5.9,5.4,0,4,0.3,3.4,0.2,1,32.7,Under 500,Rural,"$602,435 to < $674,066",Under $1.0809
CHARLOTTE ISD,007901,007 ATASCOSA,20,B,3,397,0,87.2,12.6,0,0,0,0.3,68.5,6.5,14.1,6.3,29.2,4.5,96.6,0.8,83.3,100,100,4,4,69,39,13,71,43,11,68,38,15,70,35,9,66,36,20,,,,66,37,11,86,56,28,,,,,,,,,,-1,-1,-1,63,32,9,-1,25,917,-1,91.3,47.5,2.2,2.2,4.4,52,12,27.2,111200,87996,59413,57893,73.2,4.3,8.4,32.7,11.7,23.1,20.5,0,58.2,41.8,0,0,0,0,96.1,0.3,3.2,0,0.4,0,752970,1.285,8043283,19196,7132400,34.4,53.5,12.1,910883,2716193,0,10022036,7042430,16808,52.3,11.1,4.6,13.4,18.6,3682513,8789,31.1,9.3,15.6,0.4,4.4,0.1,4,0.2,1.2,31.5,Under 500,Rural,"$710,768 to < $836,577",$1.2148 to under $1.3239
JOURDANTON ISD,007902,007 ATASCOSA,20,A,7,1569,0.4,61.1,37,0.3,0.3,0,1,55.3,3.1,14.7,2.9,23.9,4.4,94.5,0.4,97.1,97.5,96.1,98,74,80,55,28,82,62,30,80,50,27,79,50,22,74,50,35,88,25,0,77,49,22,85,64,38,,,,-1,-1,-1,,,,95,81,38,75,45,20,32.7,34.4,1006,20.5,230.3,116.5,1.3,4.3,3,50.6,13.8,27,113968,92723,80505,59464,38.8,6.8,13.5,25.8,12.7,23.2,17,0,23.5,75.6,0,0,0,0.9,76.3,9.5,4.2,0.1,8,1.9,596950,1.372,23568430,15108,20057316,36.1,53.8,10.1,3511114,10011726,0,21294794,17546942,11248,57.8,7.8,5.9,11.1,17.4,10140960,6501,40.3,16.2,5.8,0.3,4.3,0.1,4.9,0,1.5,24.4,"1,000 to 1,599",Non-metropolitan Stable,"$573,876 to < $602,435",$1.3239 and over
LYTLE ISD,007904,007 ATASCOSA,20,B,5,1740,0.6,82.4,15.9,0.2,0.2,0,0.7,74,14.7,11.3,14.2,28.2,2.6,91.9,2.8,91.4,93.3,90.8,86,71,65,31,11,68,38,14,60,22,9,64,26,7,68,36,14,26,13,4,62,28,9,81,43,21,,,,-1,-1,-1,-1,-1,-1,100,71,24,60,26,8,16.3,35.7,1013,-1,285.9,126,2.4,3.5,7.3,44.1,15.3,27.4,101274,75554,66578,57421,61.8,6.1,13.8,32.3,11.4,24.9,22,2.4,43.3,53.5,0,0,0.8,0,71.1,9.6,7.5,0.6,8.8,2.3,220428,1.368,22655601,12902,20841304,61.5,20.7,17.9,1814297,4774216,0,27963633,21392991,12183,56.6,6.6,5,11.8,20.2,12103399,6893,33.5,8.8,19.9,1.3,5.6,0.1,3.1,0,1.9,24.2,"1,600 to 2,999",Non-metropolitan Stable,"$164,606 to < $234,712",$1.3239 and over
PLEASANTON ISD,007905,007 ATASCOSA,20,B,6,3374,0.7,69.6,27.6,0.4,0.5,0.1,1.2,66.1,5.2,12.7,4.8,34.5,4.5,93.8,2.2,97.1,97.6,95.3,237,229,74,46,20,73,49,21,71,39,16,78,53,20,79,51,26,85,48,15,71,42,17,80,56,26,100,42,16,96,83,48,-1,-1,-1,71,60,34,68,38,14,62.4,31.1,992,19.2,501.9,243.5,1.6,2.5,7,48.5,14.4,26,108251,86389,70546,59862,54.2,6.7,13.9,38.1,10.9,27.1,16.1,1.2,39.2,57.9,0,0,0,1.6,73.2,14.3,2.5,1.7,4.7,3.6,632397,1.277,52197387,15213,46926064,28.4,54.1,17.5,5271323,24914849,0,49300094,42593337,12414,56.6,6.5,5.2,12.2,19.5,24094826,7023,37.3,17.6,9.3,0.8,3.9,0.3,2.4,0,1.3,24.8,"3,000 to 4,999",Independent Town,"$602,435 to < $674,066",$1.2148 to under $1.3239
POTEET ISD,007906,007 ATASCOSA,20,C,4,1676,0.4,87.6,11.5,0,0.1,0,0.4,71.7,8.1,12.3,10.6,27.6,4.7,90.2,4.1,93.2,98.1,95.2,101,90,60,31,11,65,40,15,52,21,7,63,29,10,59,31,10,17,0,0,59,29,10,74,45,22,-1,-1,-1,-1,-1,-1,,,,50,33,17,57,27,8,74.3,8,867,16.2,257.9,125.2,1.6,3.1,8.4,48.5,11.7,26.8,104062,79848,61026,51774,66.2,6.5,13.4,38.6,10.8,24.8,18.7,0.8,52.1,47.1,0,0,0,0,73.3,11,6.2,0.4,9,0,273963,1.397,20467877,12784,18625232,60.5,24.2,15.3,1842645,9854691,0,20519534,17653216,11026,55.4,8.3,5.7,11.5,19.1,9770825,6103,37.1,9.6,14.4,1.5,4.8,0,3.5,0,0,26.4,"1,600 to 2,999",Non-metropolitan Stable,"$234,712 to < $298,152",$1.3239 and over
BELLVILLE ISD,008901,008 AUSTIN,06,C,5,2191,7.2,31.4,57.9,0.2,0.3,0.1,2.8,45.3,9.7,12.8,9.5,27.4,11.5,95.5,0,99.4,97.6,98.9,179,170,73,43,18,76,50,21,68,35,14,72,41,17,79,49,28,38,10,2,65,31,11,82,55,25,78,44,44,100,100,67,,,,60,30,11,58,27,10,26.8,47.9,1117,24.1,337.6,168,1.5,3.3,6.8,49.8,11.1,27.6,111813,82154,64636,54109,20.9,6.5,13,31.4,13.3,13,21.5,3,4.8,91.7,0,0,0,0.6,78.5,9.6,1.2,1.1,5.9,3.7,688083,1.135,29442916,13481,25799135,24.5,62.9,12.5,3643781,9357295,0,28733480,24369572,11158,57.2,6.5,4.9,10.2,21.3,13943980,6385,38.3,15.1,6.8,0.6,4.6,0.3,2.9,0,0.3,25.8,"1,600 to 2,999",Independent Town,"$674,066 to < $710,768",$1.0809 to under $1.2148
SEALY ISD,008902,008 AUSTIN,06,B,4,2814,8.2,52.9,34.8,0.2,0.7,0.1,3.1,60.3,16.9,13.7,17.6,33.4,5.4,94.4,0.7,96.3,97.4,90.7,220,165,75,45,18,73,48,20,74,40,16,79,43,13,74,50,30,57,27,7,70,38,13,84,59,27,60,60,40,86,52,10,,,,81,50,27,66,34,10,40.9,38.9,1025,21.1,366.9,203.5,2.2,3.5,7.7,55.5,10.3,20.9,103512,80402,64933,55027,28.4,7.7,13.8,34.9,11,14.7,14.6,6.4,17.7,74.9,0,0,0,1,64,15.2,0,9.3,5.6,5.8,547831,1.266,35081920,12516,30655693,33.1,55,11.9,4426227,4500000,0,35279878,30000016,10703,54.3,6.3,5,15.5,18.9,16282010,5809,38.5,15.2,6.8,0.6,3.9,0.3,3,0,0,29.5,"1,600 to 2,999",Independent Town,"$539,089 to < $573,876",$1.2148 to under $1.3239
BRAZOS ISD,008903,008 AUSTIN,06,B,3,766,4,55.4,36.8,0,0.3,0,3.5,58.4,16.8,14.2,15,30.2,5,96,0,98,100,95.3,50,50,82,54,23,79,55,21,82,52,24,86,53,19,86,56,30,70,34,12,80,49,20,86,64,29,,,,-1,-1,-1,,,,93,60,28,76,46,16,38,21.1,963,-1,128.4,59.8,2.6,2.3,5.7,46.5,14.3,28.5,90651,87205,60406,53874,25.6,6,12.8,25,13.5,18.7,31,3.3,3.3,90,0,1.7,0,1.7,71.7,9.5,6.6,0,8,4.2,484005,1.216,12484118,15723,11322955,57.6,35.2,7.2,1161163,5251963,0,11610760,9849602,12405,51.7,7.4,7.2,12.9,20.8,5093142,6415,36.6,13.2,6.5,1.2,3.6,1.6,5,0,0,29.5,500 to 999,Rural,"$479,670 to < $526,224",$1.2148 to under $1.3239
MULESHOE ISD,009901,009 BAILEY,17,A,4,1347,0.7,85.7,12.5,0.1,0.6,0.1,0.4,87.6,30.5,14,30.4,32,2.7,94.2,0,100,98.7,100,76,68,68,40,17,70,43,17,62,34,16,76,45,19,67,44,23,75,50,25,65,37,15,84,61,34,,,,100,100,54,,,,-1,-1,-1,65,36,14,100,20.7,895,19.3,230.7,116.3,1.7,3.5,6.9,50.4,18.8,18.7,110425,80969,55953,48228,46.6,5.8,11.6,42.1,11.3,14.6,17.6,0,33.8,65.3,0,0,0,0.9,61.2,10.5,14.2,3.2,7.4,3.4,219622,1.238,20236574,15147,19179772,64.2,20.1,15.7,1056802,7222826,0,20687204,19030298,14244,57.9,6.4,4.7,12.6,18.4,11016980,8246,29.4,12.7,15.1,3.3,6,0.1,4,0,0,25.2,"1,000 to 1,599",Non-metropolitan Stable,"$164,606 to < $234,712",$1.2148 to under $1.3239
MEDINA ISD,010901,010 BANDERA,20,C,1,265,2.6,29.8,64.9,0,0.4,0,2.3,57,1.5,12.5,1.5,30.2,6,95.7,0,96.2,95,96.2,24,21,77,48,19,79,53,24,72,39,11,80,47,16,76,57,24,-1,-1,-1,67,34,11,83,55,23,,,,-1,-1,-1,,,,-1,-1,-1,70,40,16,41.7,40,1041,-1,77.5,37.6,2.6,2.8,4.9,48.5,4.9,36.4,104667,84244,49883,46394,22.9,3.4,7,43.2,12.4,16.9,26.9,0,18.6,78.7,0,0,0,2.7,60.9,7.4,13.1,2.7,11.9,4.1,907657,1.276,6479184,23733,5779760,23,50.7,26.3,699424,1207934,0,5966683,5096844,18670,53.6,10.2,5.9,11.9,18.5,2732435,10009,39.1,7.3,9.3,0.2,5.6,0.1,4.1,0,0,31.9,Under 500,Rural,"$836,577 to < $949,515",$1.2148 to under $1.3239
BANDERA ISD,010902,010 BANDERA,20,Not Rated: Senate Bill 1365,4,2301,0.2,34.5,62.2,0.2,0.4,0.1,2.4,48,5.3,15.7,5.1,29.6,5.5,95.2,4.4,81.2,92.2,92.6,131,101,67,38,15,70,45,19,61,28,11,73,36,12,71,42,20,100,56,22,60,30,11,71,41,18,-1,-1,-1,75,63,38,-1,-1,-1,69,37,12,58,27,10,30.5,42.5,1058,21.9,305.2,151,1.3,3.8,6.1,49.5,11.1,28.3,108349,79177,65274,54438,19.3,7.5,15.2,35.6,11.7,23.7,21.8,2,16.2,81.2,0,0,0,0.7,75.3,9.9,6.2,0.2,4.2,4.3,880223,1.09,26581219,11995,24432441,15.1,71.3,13.6,2148778,8718719,0,25248173,23235764,10485,54.5,6.7,4.8,11.7,22.3,12657666,5712,37,12.8,9.2,0.4,4.5,0.8,3.4,0.1,0.6,28.5,"1,600 to 2,999",Non-metropolitan Stable,"$836,577 to < $949,515",$1.0809 to under $1.2148
BASTROP ISD,011901,011 BASTROP,13,C,14,11947,3,72.2,21.4,0.1,0.4,0.1,2.9,70.2,37.4,12.1,36.7,23.2,6.2,92,0.3,95.9,97.7,98.3,816,582,60,33,13,60,37,14,59,29,10,63,32,11,62,35,17,51,24,6,56,28,10,76,51,24,58,42,5,93,74,35,65,18,6,71,41,20,55,28,9,64.8,20.6,928,21.2,1316,729.8,1.3,3.4,12.5,55.5,18.1,9.2,122079,85575,65798,55921,32.8,9.1,16.4,44.3,10.5,20.9,23.1,4.9,18.4,73.1,0.1,1,0,2.5,55.1,13.8,10.8,7.8,4.3,8.3,410189,1.321,141486411,12470,121266695,48.9,37.3,13.8,20219716,23650015,0,141422786,120831076,10650,60.5,4.3,5.1,9.9,20.2,73090356,6442,39.2,15,12.1,1.8,2.6,0.3,1.4,0,0.4,24,"10,000 to 24,999",Other Central City,"$359,962 to < $411,857",$1.2148 to under $1.3239
